,Ho_ten,10%,20%_1,20%_2,Thi
145,71_145,7.0,7.25,7.25,7.0
146,71_146,7.0,6.75,7.5,6.5
147,71_151,7.5,7.0,8.0,9.0
148,71_152,7.0,6.5,6.5,6.5
149,71_153,7.0,7.0,7.5,7.5
150,71_154,7.0,7.0,7.0,
151,72_011,6.0,6.5,7.0,6.75
152,72_012,6.5,7.25,7.75,7.5
153,72_013,5.75,6.75,7.25,7.0
154,72_014,6.75,7.0,7.5,7.25
155,72_015,6.0,6.5,7.0,6.75
156,72_021,8.38,7.0,6.75,6.0
157,72_022,8.88,7.0,6.0,6.5
158,72_023,8.13,6.5,6.0,5.0
159,72_024,7.88,7.0,6.0,5.0
160,72_025,8.25,7.5,6.5,5.0
161,72_026,8.75,8.0,7.0,7.0
162,72_031,3.5,6.75,7.0,7.0
163,72_032,7.5,8.0,7.0,7.5
164,72_033,7.0,7.25,7.0,7.25
165,72_034,7.0,7.125,6.5,6.5
166,72_035,7.0,7.5,7.0,7.0
167,72_041,8.0,6.5,6.0,6.0
168,72_042,7.6,7.0,7.0,7.0
169,72_043,6.75,5.5,6.5,6.5
170,72_044,7.4,5.75,5.8,6.0
171,72_045,6.9,6.75,5.0,5.0
172,72_046,7.75,6.6,6.0,7.0
173,72_051,7.0,7.0,7.5,7.0
174,72_052,7.0,7.4,7.25,6.75
175,72_053,7.25,6.5,8.0,7.75
176,72_054,6.825,7.0,7.0,7.0
177,72_055,7.25,7.25,7.5,7.5
178,72_061,7.25,6.5,6.5,6.5
179,72_062,6.325,6.0,6.25,6.0
180,72_063,7.0,6.0,6.0,6.0
181,72_064,6.5,6.0,6.75,6.0
182,72_065,7.25,6.5,6.75,6.5
183,72_071,7.125,6.75,6.0,6.5
184,72_072,7.625,7.125,6.0,5.0
185,72_073,7.625,6.8,7.0,6.0
186,72_074,6.75,7.25,7.0,6.0
187,72_075,7.0,6.875,7.0,6.5
188,72_081,7.375,7.0,6.75,6.5
189,72_082,6.875,7.0,6.75,7.0
190,72_083,7.25,6.875,7.25,7.25
191,72_084,6.875,7.125,7.0,6.75
192,72_085,7.125,7.125,7.0,6.75
193,72_091,7.25,3.375,7.0,6.5
194,72_092,6.5,6.75,6.5,6.25
195,72_093,6.5,6.875,6.75,6.75
196,72_094,3.0,0.0,0.0,0.0
197,72_095,7.125,6.875,7.25,7.0
198,72_101,7.75,8.375,8.0,8.5
199,72_102,7.5,8.125,8.0,8.5
200,72_103,7.125,7.75,7.5,8.0
201,72_104,7.75,7.625,7.0,7.5
202,72_105,7.375,8.125,8.0,8.0
203,72_111,0.0,0.0,0.0,0.0
204,72_112,7.125,7.5,7.5,6.5
205,72_113,6.875,7.125,7.5,6.5
206,72_114,6.625,6.5,6.5,5.75
207,72_115,3.75,3.375,6.5,6.0
208,72_121,7.75,7.875,8.0,7.5
209,72_122,7.5,7.625,7.75,7.5
210,72_123,7.125,7.625,7.5,7.5
211,72_124,7.125,7.375,7.25,7.0
212,72_125,6.75,8.75,9.0,8.5
213,72_131,7.5,6.0,6.5,6.5
214,72_132,7.5,6.75,6.25,6.25
215,72_133,7.25,6.5,6.5,6.0
