,10%,20%_1,20%_2,Thi
0,0.8375,1.4500000000000002,1.7000000000000002,4.5
1,0.8250000000000001,1.4500000000000002,1.7000000000000002,4.5
2,0.8500000000000001,1.5,1.7000000000000002,5.0
3,0.4,1.4500000000000002,1.7000000000000002,4.5
4,0.875,1.5,1.7000000000000002,4.75
5,0.775,1.55,1.55,3.75
6,0.7000000000000001,0.6000000000000001,1.4000000000000001,3.5
7,0.75,1.5,1.5,3.75
8,0.7000000000000001,1.4000000000000001,1.4000000000000001,3.5
9,0.7250000000000001,1.4000000000000001,1.4000000000000001,3.75
10,0.7625000000000001,1.4500000000000002,1.4000000000000001,3.625
11,0.775,1.4500000000000002,1.4500000000000002,3.75
12,0.7625000000000001,1.475,1.55,3.75
13,0.75,1.3,1.35,3.5
14,0.75,1.4500000000000002,1.4000000000000001,3.625
15,0.8500000000000001,1.6,1.8,4.5
16,0.8125,1.5250000000000001,1.5,3.875
17,0.8125,1.5250000000000001,1.55,3.875
18,0.8250000000000001,1.5750000000000002,1.6,3.75
19,0.8,1.4500000000000002,1.6500000000000001,4.0
20,0.775,1.4000000000000001,1.2000000000000002,3.75
21,0.8250000000000001,1.4500000000000002,1.3,4.0
22,0.35000000000000003,0.0,0.0,0.0
23,0.875,1.6,1.8,4.25
24,0.775,1.4500000000000002,1.35,4.0
25,0.8,1.4000000000000001,1.4000000000000001,3.75
26,0.775,1.5250000000000001,1.5,3.75
27,0.7250000000000001,1.5,1.4000000000000001,3.5
28,0.375,1.4000000000000001,1.4000000000000001,3.5
29,0.8,1.425,1.4000000000000001,3.625
30,0.775,1.4000000000000001,1.4000000000000001,3.5
31,0.8125,1.4500000000000002,1.4000000000000001,3.75
32,0.8500000000000001,0.75,1.4000000000000001,3.5
33,0.8,0.75,1.4000000000000001,4.0
34,0.8375,1.5350000000000001,1.4000000000000001,3.75
35,0.75,1.5,1.5,4.0
36,0.8250000000000001,1.55,1.4000000000000001,4.0
37,0.7000000000000001,1.4000000000000001,1.4000000000000001,4.0
38,0.8250000000000001,1.6,1.5,4.125
39,0.775,1.4000000000000001,1.4000000000000001,4.0
40,0.8250000000000001,1.4500000000000002,1.4000000000000001,4.0
41,0.775,1.4000000000000001,1.3,3.625
42,0.7400000000000001,1.35,1.2000000000000002,3.5
43,0.75,1.2000000000000002,1.2000000000000002,3.25
44,0.0,0.0,0.0,0.0
45,0.775,1.3,1.5,3.75
46,0.8,1.4500000000000002,1.5,3.75
47,0.8250000000000001,1.6500000000000001,1.7000000000000002,4.0
48,0.8,1.4000000000000001,1.5,3.75
49,0.8250000000000001,1.5,1.5,3.875
