,Ho_ten,10%,20%_1,20%_2,Thi
0,71_011,0.65,0.7428571428571429,0.6666666666666667,6.5
1,71_012,0.55,0.6285714285714287,0.6666666666666667,5.0
2,71_013,0.65,0.8,0.7777777777777778,6.75
3,71_014,0.7250000000000001,0.6285714285714287,0.7777777777777778,6.0
4,71_021,0.75,0.5714285714285714,0.6666666666666667,6.0
5,71_022,0.8,0.6857142857142858,0.6666666666666667,6.0
6,71_023,0.9,0.9142857142857144,0.888888888888889,8.0
7,71_024,0.75,0.5714285714285714,0.6666666666666667,6.0
8,71_025,0.65,0.6857142857142858,0.6666666666666667,6.0
9,71_031,0.8,0.7428571428571429,0.7777777777777778,7.0
10,71_032,0.8,0.8,0.7777777777777778,6.0
11,71_033,0.8,0.8,0.7777777777777778,7.0
14,71_041,1.0,0.7428571428571429,0.888888888888889,6.5
15,71_042,1.0,0.9142857142857144,0.888888888888889,8.5
16,71_043,1.0,0.7428571428571429,0.8333333333333333,7.0
17,71_044,0.7000000000000001,0.6857142857142858,0.7777777777777778,7.0
18,71_045,1.0,0.7714285714285715,0.888888888888889,7.0
19,71_046,1.0,0.7428571428571429,0.888888888888889,7.0
20,71_051,0.7000000000000001,0.6857142857142858,0.7222222222222222,6.4614093959731544
21,71_052,0.7120000000000001,0.7142857142857143,0.7777777777777778,6.5
22,71_053,0.775,0.7142857142857143,0.8055555555555556,6.25
23,71_054,0.735,0.6857142857142858,0.7777777777777778,6.0
24,71_055,0.75,0.6285714285714287,0.7222222222222222,6.0
25,71_056,0.7120000000000001,0.6571428571428573,0.7222222222222222,6.25
26,71_061,1.0,0.6857142857142858,0.7222222222222222,6.5
27,71_062,1.0,0.7428571428571429,0.7222222222222222,6.5
28,71_063,0.7000000000000001,0.5714285714285714,0.7222222222222222,6.0
29,71_064,1.0,0.6857142857142858,0.7222222222222222,6.5
30,71_065,1.0,0.7428571428571429,0.7222222222222222,6.5
31,71_071,0.9,0.7142857142857143,0.7777777777777778,7.0
32,71_072,0.8,0.6857142857142858,0.7222222222222222,6.5
33,71_073,0.9,0.8285714285714286,0.8333333333333333,7.5
34,71_074,0.8,0.7714285714285715,0.7222222222222222,6.5
35,71_075,0.8,0.7428571428571429,0.6666666666666667,6.0
36,71_081,0.8,0.6857142857142858,0.6111111111111112,5.0
37,71_082,0.75,0.7428571428571429,0.6944444444444444,5.5
38,71_083,0.8500000000000001,0.6571428571428573,0.7222222222222222,5.0
39,71_084,0.8,0.6857142857142858,0.7222222222222222,5.0
40,71_085,0.7000000000000001,0.6857142857142858,0.6666666666666667,5.0
41,71_091,0.7000000000000001,0.8,0.6666666666666667,5.0
42,71_092,0.7250000000000001,0.7714285714285715,0.7222222222222222,5.0
43,71_093,0.7000000000000001,0.7428571428571429,0.6666666666666667,5.0
44,71_094,0.55,0.5714285714285714,0.5555555555555556,5.0
45,71_095,0.6000000000000001,0.7428571428571429,0.6666666666666667,5.0
46,71_101,0.9,0.8,0.7222222222222222,6.0
47,71_102,0.9,0.8,0.6666666666666667,6.0
48,71_103,0.7000000000000001,0.7428571428571429,0.6666666666666667,6.0
49,71_104,0.9,0.8,0.7222222222222222,6.0
50,71_105,0.9,0.8,0.6666666666666667,6.0
51,71_111,0.8,0.7714285714285715,0.7777777777777778,7.0
52,71_112,0.8,0.7714285714285715,0.888888888888889,7.0
53,71_113,0.8,0.7428571428571429,0.8333333333333333,7.0
54,71_114,0.8250000000000001,0.5714285714285714,0.888888888888889,7.0
55,71_115,0.775,0.7428571428571429,0.7777777777777778,7.0
56,71_121,0.9,0.8571428571428571,0.7777777777777778,7.0
57,71_122,0.8,0.7428571428571429,0.7222222222222222,6.5
58,71_123,0.8,0.8,0.7777777777777778,7.0
59,71_124,0.8,0.8,0.7777777777777778,7.0
60,71_125,0.8,0.8,0.7777777777777778,7.0
61,71_131,0.75,0.8571428571428571,0.888888888888889,8.0
62,71_132,0.8,0.8,0.888888888888889,8.0
63,71_133,0.8500000000000001,0.942857142857143,0.888888888888889,8.0
64,71_134,0.8500000000000001,0.8,0.7222222222222222,6.5
65,71_135,0.8500000000000001,0.8571428571428571,0.8333333333333333,7.5
66,71_141,0.7000000000000001,0.8,0.8333333333333333,7.0
67,71_142,0.7000000000000001,0.8285714285714286,0.7777777777777778,7.0
68,71_143,0.7000000000000001,0.37142857142857144,0.8055555555555556,7.25
69,71_144,0.7000000000000001,0.8571428571428571,0.888888888888889,7.5
70,71_145,0.7000000000000001,0.8285714285714286,0.8055555555555556,7.0
71,71_146,0.7000000000000001,0.7714285714285715,0.8333333333333333,6.5
72,71_151,0.75,0.8,0.888888888888889,9.0
73,71_152,0.7000000000000001,0.7428571428571429,0.7222222222222222,6.5
74,71_153,0.7000000000000001,0.8,0.8333333333333333,7.5
75,71_154,0.7000000000000001,0.8,0.7777777777777778,6.4614093959731544
76,72_011,0.6000000000000001,0.7428571428571429,0.7777777777777778,6.75
77,72_012,0.65,0.8285714285714286,0.8611111111111112,7.5
78,72_013,0.5750000000000001,0.7714285714285715,0.8055555555555556,7.0
79,72_014,0.675,0.8,0.8333333333333333,7.25
80,72_015,0.6000000000000001,0.7428571428571429,0.7777777777777778,6.75
81,72_021,0.8380000000000001,0.8,0.75,6.0
82,72_022,0.8880000000000001,0.8,0.6666666666666667,6.5
83,72_023,0.8130000000000002,0.7428571428571429,0.6666666666666667,5.0
84,72_024,0.788,0.8,0.6666666666666667,5.0
85,72_025,0.8250000000000001,0.8571428571428571,0.7222222222222222,5.0
86,72_026,0.875,0.9142857142857144,0.7777777777777778,7.0
87,72_031,0.35000000000000003,0.7714285714285715,0.7777777777777778,7.0
88,72_032,0.75,0.9142857142857144,0.7777777777777778,7.5
89,72_033,0.7000000000000001,0.8285714285714286,0.7777777777777778,7.25
90,72_034,0.7000000000000001,0.8142857142857143,0.7222222222222222,6.5
91,72_035,0.7000000000000001,0.8571428571428571,0.7777777777777778,7.0
92,72_041,0.8,0.7428571428571429,0.6666666666666667,6.0
93,72_042,0.76,0.8,0.7777777777777778,7.0
94,72_043,0.675,0.6285714285714287,0.7222222222222222,6.5
95,72_044,0.7400000000000001,0.6571428571428573,0.6444444444444444,6.0
96,72_045,0.6900000000000001,0.7714285714285715,0.5555555555555556,5.0
97,72_046,0.775,0.7542857142857143,0.6666666666666667,7.0
